ID,type,name,country
764eafb7-fa84-4154-82b0-f6b969ed3f74,Incorporated,Specific Appraisals,United States
c3a1be6a-9440-4496-8658-5b1ee5004fc4,Professional corporation,Hi-Point Firearms,United States
061c94d0-2670-401d-a7fc-c05397a96755,Limited Partnership,Incluesiv,United States
d87bfd29-4096-421a-b0f4-f30c60198eba,Limited Liability Partnership,Helios Air,United States
d5b787d1-ba13-4a06-998c-6b9f752b231a,Limited Liability Limited Partnership,Incluesiv,United States
cc77f0fb-8fea-4cdd-b71d-cf4716d020a0,Limited Liability Limited Partnership,Star Interior Design,United States
21d9afc1-1d9f-4789-9cb1-5fdf91d74413,Professional corporation,Bold Ideas,United States
565c5c2f-cd11-4ac2-99db-641cc98ed5d8,Limited Liability Company,LeapFrog Enterprises,United States
2aec90c9-19d9-433b-bf37-53b441ef163d,Limited Partnership,Hewlett-Packard,United States
e44f7997-f311-472a-a172-f9289f37f07c,Professional Limited Liability Company,Apple Inc.,United States
76e3989d-7011-4998-ac60-83c46de02cc2,Limited Liability Company,Ideal Garden Management,United States
481e4053-67c0-4d04-ba84-c274942e62ee,Professional corporation,Strategy Planner,United States
8ae57a18-b72a-47e0-9093-d3b4bd6bcf51,Professional corporation,Lazysize,United States
9877ed1e-a068-4b14-9811-85fb4f41361b,Limited Partnership,SanDisk,United States
c2389499-aa94-4ec8-b99a-158ff5e63685,Professional corporation,Transocean,United States
abbc7704-4747-4341-a24f-db431dc150d1,Incorporated,Sunny Real Estate Investments,United States
bd60162e-345f-4b2e-86c0-14161bc2d453,Professional Limited Liability Company,Perdue Farms,United States
9db7fea3-4ad0-4a69-b9dd-4472214a1119,Professional Limited Liability Company,Activision Blizzard,United States
d247d093-1bad-4a05-92d0-06250a4418e8,Limited Liability Partnership,System Star,United States
4c8adb23-b078-4919-bcab-9a58f4bf61d0,Limited Liability Partnership,EMC Corporation,United States
e31b3324-402c-426c-a3c9-1ee9e50be286,Limited Liability Partnership,Prestigabiz,United States
5d3a5e58-9365-454f-8f10-1254aa6eb7bb,Professional corporation,Emerson Electric Company,United States
73f8d1f4-7ddc-4d38-ab58-72445b9d411f,Corporation,Desert Garden Help,United States
eda28236-e92f-4b29-bd96-b0096a82bb1f,Corporation,Discover Financial Services,United States
9a50376f-cecf-4d06-89eb-b34f3ad76307,Professional corporation,Signa Air,United States
8c0bceff-1d66-4422-a91b-2b59da6e8e12,Limited Liability Limited Partnership,Harman International Industries,United States
3f70295b-33fe-49cd-bded-4abcb735db9e,Incorporated,Prestiga-Biz,United States
9e4ea239-f32d-4941-92d2-f388b75b0e10,Limited Liability Limited Partnership,General Electric,United States
886c8c12-de05-4083-931a-56ca52d3f4cd,Limited Partnership,Superior Interior Design,United States
dfd46e15-baaf-42cc-ba14-fd97c045a1e3,Limited Liability Limited Partnership,Polaroid Corporation,United States
9e75dc24-e3e6-450e-b17d-42b6e879272f,Corporation,facebook,United States
e5a7ccf1-1322-4a5f-8c03-f43f0e00ea62,Corporation,YASH Technologies,United States
25f8be33-2870-4722-b28d-6352d7f1d7cd,Professional corporation,Red Bears Tavern,United States
6ad19e40-59a1-4429-9d0c-e88827506568,Corporation,Barnes & Noble,United States
3d5a96d8-205c-421f-a687-93a1ad9558be,Limited Liability Company,Frasca International,United States
9d216092-ba05-45c7-8bd8-34b103cef766,Professional corporation,Becton Dickinson,United States
