ZIPCODE,TRX_AMT_SUM,TRX_AMT_AVG,TRX_CT,STATE
00601,548.38,182.79333333333332,3,PR
00601,548.38,182.79333333333332,3,PR
00602,307.4,30.74,10,PR
00602,307.4,30.74,10,PR
00603,57.65,14.4125,4,PR
00603,57.65,14.4125,4,PR
00604,73.47,73.47,1,PR
00605,6174.47,1234.894,5,PR
00606,46.46,23.23,2,PR
00606,46.46,23.23,2,PR
00610,190.98000000000002,31.830000000000002,6,PR
00611,5.99,5.99,1,PR
00612,2092.27,95.10318181818182,22,PR
00612,2092.27,95.10318181818182,22,PR
00612,2092.27,95.10318181818182,22,PR
00612,2092.27,95.10318181818182,22,PR
00613,95.00999999999999,15.834999999999999,6,PR
00614,43.98,21.99,2,PR
00616,38.15,19.075,2,PR
00617,61.0,20.333333333333332,3,PR
00617,61.0,20.333333333333332,3,PR
00622,19.65,9.825,2,PR
00623,275.65999999999997,30.628888888888884,9,PR
00623,275.65999999999997,30.628888888888884,9,PR
00624,1618.1400000000003,49.034545454545466,33,PR
00624,1618.1400000000003,49.034545454545466,33,PR
00624,1618.1400000000003,49.034545454545466,33,PR
00627,612.43,51.03583333333333,12,PR
00637,308.30000000000007,30.830000000000005,10,PR
00638,105.45,26.3625,4,PR
00638,105.45,26.3625,4,PR
00638,105.45,26.3625,4,PR
00641,134.38,22.396666666666665,6,PR
00641,134.38,22.396666666666665,6,PR
00646,380.31,42.25666666666667,9,PR
00646,380.31,42.25666666666667,9,PR
00646,380.31,42.25666666666667,9,PR
00646,380.31,42.25666666666667,9,PR
00647,6.0,6.0,1,PR
00650,89.13,17.826,5,PR
00650,89.13,17.826,5,PR
00650,89.13,17.826,5,PR
00650,89.13,17.826,5,PR
00652,11.14,11.14,1,PR
00653,520.21,86.70166666666667,6,PR
00653,520.21,86.70166666666667,6,PR
00656,883.1,63.07857142857143,14,PR
00659,2655.4800000000005,94.83857142857144,28,PR
00660,949.8199999999999,135.6885714285714,7,PR
00660,949.8199999999999,135.6885714285714,7,PR
00662,958.32,68.45142857142858,14,PR
00664,34.17,34.17,1,PR
00667,498.76000000000005,71.25142857142858,7,PR
00667,498.76000000000005,71.25142857142858,7,PR
00669,23.07,3.845,6,PR
00670,20.0,10.0,2,PR
00674,744.0599999999998,35.43142857142856,21,PR
00674,744.0599999999998,35.43142857142856,21,PR
00674,744.0599999999998,35.43142857142856,21,PR
00676,972.1,88.37272727272727,11,PR
00677,124.53,41.51,3,PR
00677,124.53,41.51,3,PR
00678,513.69,85.61500000000001,6,PR
00680,890.59,37.10791666666667,24,PR
00680,890.59,37.10791666666667,24,PR
00681,136.54000000000002,27.308000000000003,5,PR
00682,489.38000000000005,40.78166666666667,12,PR
00683,828.6700000000001,63.74384615384616,13,PR
00683,828.6700000000001,63.74384615384616,13,PR
00685,593.02,74.1275,8,PR
00685,593.02,74.1275,8,PR
00687,136.01,34.0025,4,PR
00687,136.01,34.0025,4,PR
00687,136.01,34.0025,4,PR
00687,136.01,34.0025,4,PR
00688,249.75,62.4375,4,PR
00690,2.13,2.13,1,PR
00690,2.13,2.13,1,PR
00692,127.43,18.204285714285714,7,PR
00692,127.43,18.204285714285714,7,PR
00692,127.43,18.204285714285714,7,PR
00692,127.43,18.204285714285714,7,PR
00693,679.6299999999999,42.47687499999999,16,PR
00693,679.6299999999999,42.47687499999999,16,PR
00694,174.32999999999998,34.866,5,PR
00698,787.44,30.286153846153848,26,PR
00703,511.99,56.88777777777778,9,PR
00703,511.99,56.88777777777778,9,PR
00704,143.01,28.601999999999997,5,PR
00705,1656.73,66.2692,25,PR
00705,1656.73,66.2692,25,PR
00705,1656.73,66.2692,25,PR
00707,90.99,45.495,2,PR
00714,1672.76,98.39764705882352,17,PR
00714,1672.76,98.39764705882352,17,PR
00715,181.01,36.202,5,PR
00716,1849.9299999999998,59.67516129032258,31,PR
00717,839.5499999999998,49.38529411764705,17,PR
00718,608.6800000000001,40.57866666666667,15,PR
00719,240.14,48.028,5,PR
00719,240.14,48.028,5,PR
00720,512.57,85.42833333333334,6,PR
00720,512.57,85.42833333333334,6,PR
00720,512.57,85.42833333333334,6,PR
00720,512.57,85.42833333333334,6,PR
00721,80.0,80.0,1,PR
00723,716.03,71.603,10,PR
00723,716.03,71.603,10,PR
00723,716.03,71.603,10,PR
00725,3976.09,62.12640625,64,PR
00725,3976.09,62.12640625,64,PR
00725,3976.09,62.12640625,64,PR
00725,3976.09,62.12640625,64,PR
00725,3976.09,62.12640625,64,PR
00726,783.7600000000001,60.28923076923078,13,PR
00727,803.89,36.540454545454544,22,PR
00728,1068.0,24.837209302325583,43,PR
00729,714.5,26.462962962962962,27,PR
00729,714.5,26.462962962962962,27,PR
00729,714.5,26.462962962962962,27,PR
00729,714.5,26.462962962962962,27,PR
00730,3084.21,79.0823076923077,39,PR
00731,903.3099999999998,64.52214285714284,14,PR
00732,338.73,56.455000000000005,6,PR
00733,263.53,29.28111111111111,9,PR
00735,101.15,25.2875,4,PR
00735,101.15,25.2875,4,PR
00736,5102.499999999999,145.78571428571425,35,PR
00736,5102.499999999999,145.78571428571425,35,PR
00737,722.2700000000001,80.25222222222223,9,PR
00738,367.19,30.599166666666665,12,PR
00739,454.18,28.38625,16,PR
00739,454.18,28.38625,16,PR
00739,454.18,28.38625,16,PR
00741,589.3,73.6625,8,PR
00745,1699.9000000000003,80.94761904761906,21,PR
00745,1699.9000000000003,80.94761904761906,21,PR
00751,451.30999999999995,37.60916666666666,12,PR
00751,451.30999999999995,37.60916666666666,12,PR
00754,1442.58,49.74413793103448,29,PR
00754,1442.58,49.74413793103448,29,PR
00754,1442.58,49.74413793103448,29,PR
00754,1442.58,49.74413793103448,29,PR
00757,360.73,25.766428571428573,14,PR
00757,360.73,25.766428571428573,14,PR
00765,28.5,28.5,1,PR
00766,263.44,37.63428571428572,7,PR
00766,263.44,37.63428571428572,7,PR
00767,987.7000000000002,36.58148148148149,27,PR
